id,longitude,latitude
0,-43.19448871895534,-22.983571669284053
1,-43.30181022730023,-23.011972156360795
2,-43.21636554138819,-22.920250516077687
3,-43.32304806953678,-23.006841073845603
4,-43.33148035581998,-22.946701029022186
5,-43.35081315905275,-22.802312213714195
6,-43.28851640479031,-22.668590460956885
7,-43.354511013073946,-22.884016303007538
8,-43.43929968461572,-22.878464383431382
9,-43.01808331006573,-22.809200330634177
10,-43.33518713997461,-22.93484993621862
11,-43.4263483168707,-22.711041021168743
12,-43.191460270123514,-22.93611125773668
13,-43.1871015491109,-22.919908778490345
14,-43.39925369702896,-22.765852212320127
15,-43.17564762153001,-22.962720075535934
16,-43.395059692562846,-22.7940076180843
17,-43.084353526925526,-22.909482943276913
18,-43.11018080872495,-22.905297519545343
19,-43.621389024787234,-22.91247646782878
20,-43.30812224357391,-22.74420930346489
21,-43.218768606371185,-22.98541226020807
22,-43.365020034686786,-22.894135497695512
23,-43.35614714185276,-22.989492208789425
24,-43.19430617907755,-22.951759329918765
25,-43.191026849008495,-22.978526962900492
26,-43.29304116212027,-22.90505151861819
27,-43.05765253118071,-22.809333148990284
28,-43.22566807914454,-22.981229666746653
29,-43.319666920336054,-22.8768054874651
30,-42.985270190218344,-22.885524511659504
31,-43.35245629920913,-22.850453427377882
32,-43.20264140270188,-22.98216777534234
33,-43.29909141263871,-22.885054557889607
34,-43.17024263607754,-22.961865476446647
35,-43.02386838996021,-22.9383493675325
36,-43.20639221140725,-22.96285249666527
37,-43.689326291437084,-22.93991339433042
38,-43.37845257761153,-22.84523348397162
39,-43.19212411463736,-22.942131809492796
40,-43.34814514013492,-22.89235963294296
41,-43.188069471755,-22.95101633548888
42,-43.25722984955112,-22.93088924485562
43,-43.58643529533998,-22.90653090701194
44,-43.18919828635251,-22.985414339121608
45,-43.48284864772321,-22.74325987133779
46,-43.53229045003766,-22.864377637849707
47,-43.32454623366902,-22.843534786186023
48,-43.21642718245844,-22.9211729878831
49,-43.32281211419653,-22.843602449071525
50,-43.22535851019321,-22.926741947924572
51,-43.46007156606243,-23.016718017603797
52,-43.37814489869034,-22.866595469205368
53,-43.473632892802755,-23.02061203105968
54,-43.358366486549386,-22.8859616560992
55,-43.21963035849494,-22.913688793182637
56,-43.366948422998995,-22.843237008737997
57,-43.095957906491456,-22.88227823835388
58,-43.237953076026784,-22.917852766530483
59,-43.245640903249885,-22.917573031352585
60,-43.34881310841192,-22.863676812401184
61,-43.19832623442253,-22.98449921314098
62,-43.243030016935855,-22.92417523745031
63,-43.331363772399754,-22.72588391074451
64,-43.452402389156205,-22.868933683273024
65,-43.2976230902215,-22.890906615490856
66,-43.24965511849644,-22.93586552387273
67,-43.2753217688104,-22.89986511194782
68,-43.37526768713612,-22.77767864523661
69,-43.57269048868074,-22.877996054272938
70,-43.434788619933705,-22.890183115254903
71,-43.48609429216683,-23.021441871392216
72,-43.21149610721376,-22.802287426009464
73,-43.299054690765075,-22.794568167163142
74,-43.24126355069009,-22.932342514059926
75,-43.36897437490138,-22.88353730110339
76,-43.21317030477144,-22.917606492371043
77,-43.30604778834456,-23.010427628921672
78,-43.18682374956992,-22.903316423973624
79,-43.21087595977036,-22.804459437292074
80,-43.19930264682028,-22.808222653211953
81,-43.31300086296051,-22.782798539495154
82,-43.18088786934323,-22.96307187697923
83,-43.22108231935868,-22.982569333704834
84,-43.19029172953264,-22.89581749308633
85,-43.232740382070425,-22.984600174297782
86,-43.01227354802935,-22.827938848808415
87,-43.200759538366384,-22.954051764026584
88,-43.233826179112356,-22.97213246310506
89,-43.016241636959194,-22.821726654379795
90,-43.17498122530358,-22.941267120048735
91,-43.05226761335238,-22.875560223799496
92,-43.570849805322254,-22.93940387231153
93,-43.20423331892944,-22.98504461099101
94,-43.22233283224403,-22.9236673857379
95,-42.98981382722514,-22.807025978199825
96,-43.45725908530621,-22.759864020612113
97,-43.264553167695354,-22.906884241868077
98,-43.254277304682056,-22.926713904520028
99,-43.220487580922594,-22.96205120655559
100,-43.477008130612454,-23.023841984201436
101,-43.28849817132749,-22.90014132665979
102,-43.32917514379139,-22.860096967480136
103,-43.264162531110664,-22.90457593311801
104,-43.207069710135094,-22.96197641500785
105,-43.211415278764626,-22.98412138126649
106,-43.22438028280346,-22.911298131228385
107,-43.31385272524546,-22.953748524301346
108,-43.048909290876836,-22.958856297047433
109,-43.029216968741416,-22.792623116361227
110,-43.344128501585374,-23.008681025826906
111,-43.21311056042189,-22.984686058347673
112,-43.305591314213146,-22.824900918907634
113,-43.33936762051185,-22.9400987675672
114,-43.34914338255123,-22.843239535091307
115,-43.18911195786065,-22.949201008853517
116,-43.23843065245451,-22.878131706047146
117,-43.26004088589913,-22.922334086809652
118,-43.23777024390734,-22.92915802684931
119,-43.17537866735228,-22.927514270934843
120,-42.99989701724883,-22.81369773050631
121,-42.96345252532339,-22.812919228671188
122,-43.41965345695541,-23.007961714514423
123,-43.34894592558611,-23.005245614559957
124,-43.258308565327916,-22.99599889285592
125,-43.68221200672561,-22.978439563283445
126,-43.19510681285878,-22.95171166212771
127,-43.188500922564955,-22.794103195178636
128,-43.202864240818016,-22.812262021737663
129,-43.441319972564926,-22.756027404941218
130,-43.28508850426869,-22.904453384758156
131,-43.177920880675046,-22.929994970450213
132,-43.065093452384346,-22.81765124979743
133,-43.38703513514183,-22.807031110674682
134,-43.19819816514778,-22.938929631461363
135,-43.18749755167998,-22.971317236087458
136,-43.3447775724089,-22.853943088027865
137,-43.260629435168,-22.90231387390753
138,-43.119515494576156,-22.90502084637024
139,-43.22996217328748,-22.917250935010177
140,-43.41826612640465,-22.773955925178957
141,-43.44988993099674,-22.739431634805943
142,-43.316170000012285,-23.007525259681792
143,-43.21226981900519,-22.80334478145806
144,-43.21606433327062,-22.91051089686112
145,-43.15843810055165,-22.77227230956445
146,-43.22624526541526,-22.988938577449872
147,-43.26713561658634,-22.890586975730606
148,-43.387124011997976,-22.999119449843132
149,-43.18821872340276,-22.965425471826663
150,-43.314124157299744,-22.833596021267446
151,-43.26054692833862,-22.92843393251022
152,-43.35604334714488,-22.989352376576775
153,-43.21722322378425,-22.913104624828783
154,-43.577683098708086,-22.793644623898988
155,-43.32182631366958,-22.738390569701878
156,-42.90655784889822,-22.762529721230226
157,-43.07520150724971,-22.84364073541988
158,-43.23955237373558,-22.922147708014002
159,-43.195719464827135,-22.987324969890846
160,-43.17166336670222,-22.938628228665433
161,-43.63599395821745,-22.928659608841933
162,-43.057109236617464,-22.820376174414477
163,-43.33486035749421,-22.947264202549857
164,-43.357806478382855,-22.90325433758261
165,-43.19268955400298,-22.97781276500078
166,-43.09743635361354,-22.883207806652766
167,-43.100637145446264,-22.879140140380876
168,-43.238499114282135,-22.933143311534348
169,-43.37471675421705,-22.880629701698762
170,-43.35239617944438,-22.955454724798322
171,-43.10834829910872,-22.912777685414294
172,-42.91941585774143,-22.774393405735296
173,-43.64753290902693,-22.927965286595786
174,-43.1991119582214,-22.955953355906484
175,-43.172050825282035,-22.938900012856493
176,-43.18821890583737,-22.975537149870302
177,-43.314865151951146,-22.827610184316935
178,-43.18555019444141,-22.939132059233135
179,-43.24064829043663,-22.927882314548185
180,-43.23256773921864,-22.987155342481355
181,-43.04344283027796,-22.81890986533779
182,-43.48250687653034,-23.012297469371628
183,-43.30742168128934,-22.903970603087924
184,-43.38540863969909,-22.773543423772498
185,-43.3551526325219,-22.90029621672341
186,-43.390335670324596,-22.83554524134857
187,-43.463982008178675,-23.02160795378207
188,-43.43334754092128,-22.86746197461216
189,-43.204176521840296,-22.973232118760755
190,-43.605489819611435,-22.888807079477374
191,-43.35130862075808,-22.77802420761433
192,-43.287058235644736,-22.907399630610183
193,-43.19919436828525,-22.982286006486
194,-43.32849791280932,-22.952877538281058
195,-43.175852020473606,-22.956444030388603
196,-43.254115232265136,-22.869148906616584
197,-43.26008260671301,-22.84343921070062
198,-43.39985351200446,-22.832731503115156
199,-43.42728414857645,-22.77508638228592
200,-43.30559444568583,-22.828035954270884
201,-43.18745672886001,-22.946357516547515
202,-43.26498989789835,-22.845188162804547
203,-43.200899741670874,-22.984506120359708
204,-43.43104102407361,-22.774810293431372
205,-43.19078764100576,-22.970257581312527
206,-43.012602579819195,-22.92819023478405
207,-43.1933003421737,-22.982164730609554
208,-43.36800046542239,-22.77785484002156
209,-43.21819483554917,-22.928228922153057
210,-43.23639359680773,-22.920440015437748
211,-43.03685405261135,-22.83332099224537
212,-43.55060974027895,-22.787330054613264
213,-43.24101922971166,-22.86175224986954
214,-43.55147324662776,-22.79330820808952
215,-43.10253929303035,-22.907186031276837
216,-43.10689772385162,-22.90845123223321
217,-43.06191290823435,-22.82864372945109
218,-43.19177527781744,-22.938837483446726
219,-43.54539406198874,-22.876346766897118
220,-43.22161917414839,-22.986641363265704
221,-43.19087618351907,-22.986621088357722
222,-43.02838640277218,-22.778525480406625
223,-43.28373414078812,-22.90249353751691
224,-43.01048997340204,-22.782628530817654
225,-43.267013156772464,-22.890328005860756
226,-43.44195608690456,-22.757682201476687
227,-43.33582346034182,-22.83880182085101
228,-43.372188000245195,-22.942461784782605
229,-43.340891557923605,-22.97932320474987
230,-43.317740140361096,-22.840768926388197
231,-43.48546308039878,-23.021184337582493
232,-43.59227045509881,-22.89953813956112
